Survey_number,Sex,School_code_2,Science_teacher_2,Library_me_2,OMSI_me_2,Zoo_me_2,Child_museum_me_2,Scouts_me_2,Program_me_2,National_parks_me_2,Team_sport_me_2,Own_sport_me_2,Summer_camp_me_2,Hike_outdoors_me_2,Garden_me_2,Experiments_me_2,Read_me_2,Internet_me_2,Computer_me_2,Communicate_me_2,TV_me_2,Build_me_2,Pets_me_2,Library_encourage,OMSI_encourage,Zoo_encourage,Childrens_encourage,Scouts_encourage,Other_after_encourage,National_park_encourage,Team_sport_encourage,Sport_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_games_encourage,Communicate_encourage,TV_encourage,Build_encourage,Pets_encourage,Stars_planets_2,Mix_materials_2,Weather_2,Human_body_2,Traits_2,Sudoku_2,Fish_hunt_2,Earthquakes_2,Measure_2,Diseases_2,Minecraft_2,Planets_space_2,Buildings_bridges_2,Eat_exercise_2,Engines_2,Rocks_minerals_2,Computers_cell_phones_2,Food_flowers_2,Maps_2,Invent_2,Community_green_2,Shapes_2,Puzzles_2,Earth_space_6,Human_bio_6,Tech_eng_6,Math_6
55,0,Parkrose MS,2,1,1,1,1,4,5,3,5,5,2,5,1,2,2,5,5,5,3,5,5,1111,1111,1111,1111,2111,1112,2111,2111,2111,2111,2111,1111,1111,1111,1112,1112,1112,1112,2111,2111,3,3,3,3,3,4,5,3,3,3,5,3,3,5,4,3,5,3,5,4,5,3,3,0.5,0.666666667,0.75,0.5625
58,0,Parkrose MS,1,3,2,2,1,1,3,2,1,5,2,5,1,2,3,4,5,5,4,5,4,2111,1121,1121,1111,1111,2111,1121,1121,1111,2111,1112,1111,1112,2111,2111,1121,1121,1112,1112,1112,5,5,5,2,3,4,5,5,2,2,5,5,5,5,5,5,5,3,2,5,4,3,5,1,0.583333333,0.875,0.625
71,1,Parkrose MS,1,3,2,2,1,1,3,2,1,3,1,4,4,4,4,5,5,4,3,3,1,2111,1112,1112,1111,1111,2111,2111,1111,2111,1111,1112,2111,2111,2111,1112,1112,1112,1112,2111,1111,NA,5,5,5,5,5,1,5,4,4,2,5,5,4,3,3,5,4,3,3,2,3,4,1,0.916666667,0.666666667,0.75
72,1,Parkrose MS,2,2,2,2,1,1,3,2,5,5,1,4,4,2,4,4,5,5,2,3,5,1112,1211,1211,1111,1111,2111,2111,2111,2111,1111,1112,2111,1111,1112,1112,1112,1211,1111,1121,2111,5,5,5,5,5,3,3,5,2,5,5,5,3,5,3,5,5,5,3,5,3,5,2,1,1,0.75,0.5
78,1,Parkrose MS,2,1,1,2,1,1,1,2,1,5,1,2,1,1,3,2,5,5,2,2,4,2111,1112,2111,2111,1111,2111,2111,1121,1121,1111,2111,1111,1111,1112,1112,2121,1121,1112,1111,2111,4,4,2,3,3,4,5,2,3,1,4,2,3,2,1,1,2,2,3,3,4,3,3,0.375,0.416666667,0.291666667,0.5625
83,1,Parkrose MS,1,2,2,2,2,1,2,2,2,3,1,5,3,3,4,2,5,5,3,3,1,1112,1211,2211,1211,1211,2211,1211,1211,1112,1111,1211,1112,1112,1112,2211,1112,1112,1112,1112,1111,4,5,2,3,3,2,5,3,2,3,5,3,3,4,3,4,5,4,3,5,3,4,NA,0.5,0.583333333,0.708333333,0.416666667
85,0,Parkrose MS,2,3,1,2,1,1,1,2,1,3,2,2,2,4,2,1,1,1,3,3,1,1121,1111,1111,1111,1111,1111,2111,1111,1111,1112,2111,2111,1112,1111,1111,1111,1111,1111,2111,1111,5,5,3,2,3,4,4,3,4,2,1,4,5,2,4,2,3,1,3,5,2,5,5,0.6875,0.333333333,0.666666667,0.875
88,1,Parkrose MS,1,2,2,2,1,1,2,1,1,4,1,5,3,5,5,4,4,4,5,5,2,2111,2211,2211,1111,1111,1211,1111,2211,1112,1111,2211,2111,2211,2111,2111,1211,1121,2111,2111,1111,5,5,4,3,3,1,2,4,2,5,5,5,4,3,4,2,3,2,2,5,5,4,4,0.875,0.5,0.583333333,0.4375
91,0,Parkrose MS,1,2,2,2,1,1,5,3,3,5,1,3,4,4,3,4,4,3,4,3,3,2111,1112,1112,1111,1111,1121,2111,1211,1211,1111,2111,2111,2111,2111,1112,1112,1112,1112,2111,1112,5,5,4,3,4,2,3,4,3,2,4,5,4,4,3,5,5,4,4,4,3,3,3,0.875,0.666666667,0.791666667,0.4375
96,1,Parkrose MS,2,5,1,1,2,1,3,3,4,5,1,5,5,4,5,4,2,5,3,5,5,2111,1121,1211,1211,1111,1121,1121,1112,1211,1111,2111,1121,2111,2111,2111,1121,1121,2111,1211,1112,5,5,5,3,3,5,4,5,5,5,5,5,3,5,2,3,5,3,2,5,5,5,5,1,0.666666667,0.583333333,1
97,1,Parkrose MS,1,2,2,2,2,1,1,2,4,3,1,2,4,3,5,3,5,5,4,4,5,2111,1112,1112,2111,1111,1121,2111,1112,1112,1121,1211,1112,1112,1112,1112,1112,1112,1211,1112,1112,4,5,4,4,4,4,4,5,4,4,5,4,4,4,2,5,5,4,4,4,4,4,4,0.8125,0.75,0.75,0.75
100,0,Parkrose MS,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,3,1,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1211,1112,1111,1112,1111,5,3,2,3,3,3,2,4,3,3,5,5,4,4,2,4,5,3,4,4,4,3,2,0.75,0.583333333,0.708333333,0.4375
103,1,Parkrose MS,2,2,2,1,1,1,3,2,4,5,3,3,2,1,5,5,5,5,1,1,5,2111,1121,1211,1111,1111,1121,1121,2111,2111,1121,1121,2111,1111,1121,1121,1121,1121,2111,1111,2111,4,4,3,1,2,2,3,4,4,5,3,4,4,3,2,1,5,5,4,5,5,5,5,0.6875,0.25,0.625,0.75
107,1,Parkrose MS,1,2,2,1,2,5,5,2,5,1,2,2,5,4,5,5,5,5,1,5,5,2111,1121,1111,1121,2111,1121,2111,2111,1111,1111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,5,5,4,5,5,4,5,5,4,3,5,5,5,5,4,NA,1,1,5,5,5,3,3,0.9375,1,0.75,0.625
114,1,Parkrose MS,2,3,2,2,1,1,5,2,5,3,2,5,2,1,4,2,3,3,3,1,5,1112,2111,2111,2111,1111,2221,2111,2221,2111,2121,2211,1111,1111,2111,1111,1112,1121,1111,1111,2211,4,5,3,3,5,5,5,5,3,4,4,5,5,4,4,4,5,5,5,5,4,5,5,0.8125,0.75,0.916666667,0.875
117,1,Parkrose MS,2,1,3,3,1,4,4,2,2,1,2,3,1,4,5,5,5,4,4,2,5,1111,2211,2211,1111,1112,1112,2111,2111,1111,1112,2111,1111,1112,1112,1112,1112,1112,1112,2111,1112,5,3,2,1,4,3,1,2,2,1,5,4,3,3,1,4,4,3,2,5,4,3,2,0.5625,0.416666667,0.541666667,0.375
120,0,Parkrose MS,1,4,1,1,1,1,5,2,5,3,1,2,2,2,5,4,4,4,4,3,1,1112,1111,1111,1111,1111,1121,2111,1112,1121,1111,2111,2111,1211,1112,1112,1121,1121,1112,1112,1111,5,4,3,3,3,3,5,5,3,5,5,NA,5,5,4,3,5,3,4,4,5,3,3,0.833333333,0.666666667,0.791666667,0.5
122,0,Parkrose MS,1,2,2,3,1,4,1,2,2,1,2,5,2,2,4,3,3,2,2,4,5,1112,2111,2111,1111,1111,1112,1111,1121,1111,1111,2111,1111,1112,2111,2111,1112,1112,2111,1112,1112,4,5,3,3,3,4,5,5,3,3,5,3,3,5,3,4,5,3,5,5,4,3,3,0.6875,0.666666667,0.791666667,0.5625
124,0,Parkrose MS,2,3,1,2,2,1,4,1,5,5,1,4,1,4,4,5,4,3,4,2,2,2111,1121,2111,1121,1111,1111,1112,2111,1112,1111,1121,1111,1121,2111,2111,1121,1121,1112,1111,1111,4,3,5,5,3,5,4,4,5,2,5,4,3,5,1,1,4,1,4,5,3,4,5,0.8125,0.833333333,0.5,0.9375
128,1,Parkrose MS,1,3,2,2,2,1,5,1,1,4,2,1,2,5,5,2,4,5,5,2,1,2111,2211,2211,2211,1111,2111,1111,1111,2211,2111,1111,2111,2211,2111,1111,2111,1121,2211,1111,1111,5,5,5,5,5,5,2,5,5,4,2,5,5,5,4,5,5,5,5,4,4,4,4,1,1,0.916666667,0.875
134,0,Parkrose MS,1,4,1,1,1,1,2,2,2,2,1,3,1,2,4,3,5,5,4,2,1,1112,1111,1111,1111,1111,1121,1111,1121,1112,1111,2111,1111,1112,2111,1112,1112,1112,1112,1112,1111,5,5,3,3,5,5,3,3,3,4,5,5,3,5,3,2,5,3,2,5,5,2,2,0.75,0.833333333,0.583333333,0.5
135,1,Parkrose MS,1,3,1,1,1,1,4,1,1,5,1,4,1,4,4,4,5,3,5,5,1,1112,1111,1111,1111,1111,1112,1111,1111,1112,1111,1112,1111,1112,1112,1112,1112,1112,1112,1112,1111,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1
142,0,Parkrose MS,1,2,2,1,1,1,1,2,1,4,1,4,2,1,3,5,5,4,2,3,5,2111,1112,2111,1111,1111,1111,1111,1111,1112,1111,1112,1112,1111,2111,1112,1112,1112,1112,1112,1112,3,4,3,3,3,2,5,2,2,2,4,2,2,3,2,2,2,5,2,5,5,3,2,0.375,0.5,0.375,0.3125
145,0,Parkrose MS,2,3,2,2,2,1,1,2,2,4,2,5,5,1,4,1,1,1,1,2,5,2111,1121,1121,1121,1111,2111,1121,2112,1112,2111,1112,2111,1112,1112,1111,1112,1111,1111,1112,2111,4,5,4,4,4,1,5,4,2,3,5,5,3,4,5,4,5,4,4,4,5,5,3,0.8125,0.75,0.791666667,0.4375
146,0,Parkrose MS,1,2,2,1,1,1,3,2,1,4,1,5,4,3,3,2,3,3,4,1,4,1112,1112,1112,1112,1111,2111,2111,2111,1112,1111,2111,2111,1112,2111,1112,1112,1112,2111,1111,2111,5,4,3,3,3,3,5,3,3,3,5,5,4,3,3,5,3,5,3,4,5,3,3,0.75,0.5,0.666666667,0.5
149,0,Parkrose MS,1,3,2,2,1,1,1,1,5,4,1,4,3,2,3,2,4,4,2,3,4,1112,1112,1112,1111,1111,1111,1111,2111,2111,1111,1112,2111,1111,1112,1111,1112,1112,1111,1112,1112,4,5,3,3,3,3,4,3,3,3,5,3,4,3,3,3,3,3,3,4,4,3,3,0.5625,0.5,0.583333333,0.5
150,0,Parkrose MS,1,4,2,2,2,1,3,3,5,5,1,5,2,2,5,3,5,5,4,1,5,2111,2211,2111,2111,1111,2111,2111,2111,2111,1111,2111,2111,2111,2111,2111,1211,1211,2111,1111,2111,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,2,1,1,0.958333333,0.6875
154,0,Parkrose MS,1,3,2,1,2,4,1,2,1,4,1,5,3,3,5,3,5,2,4,2,5,2111,1112,1111,2111,2111,1111,2111,1111,1112,1111,2111,2111,1112,1112,1112,1112,1112,1112,1121,1111,3,4,3,3,4,2,3,3,1,2,1,4,3,2,2,3,2,3,3,4,4,3,3,0.5625,0.5,0.458333333,0.3125
155,1,Parkrose MS,2,3,2,2,1,1,5,3,5,5,2,5,4,3,3,3,2,4,3,2,3,1112,2111,2111,2111,1111,1112,1112,1112,1112,2111,1112,2111,1121,1112,1111,1111,1112,1112,1211,2111,3,5,5,5,4,3,2,5,5,5,1,2,1,5,3,4,5,5,5,3,5,4,5,0.6875,0.916666667,0.625,0.8125
157,1,Parkrose MS,2,1,2,3,1,1,1,2,1,5,2,3,4,1,4,1,5,5,1,1,5,1111,1121,2111,1111,1111,1111,2111,2111,1112,1111,2111,2111,1111,1112,1111,1112,1121,1111,1111,1112,4,3,3,3,4,1,5,5,2,1,5,3,1,5,1,3,3,5,1,4,4,1,3,0.6875,0.75,0.291666667,0.1875
160,1,Parkrose MS,1,4,1,1,1,4,1,3,1,1,1,5,1,1,5,3,1,2,5,5,5,1112,1111,1111,1111,2111,1111,1121,1111,1111,1111,1112,1111,1112,1112,2111,1111,1121,1112,1112,2111,3,3,3,4,4,3,3,3,3,4,3,4,3,5,3,3,3,3,3,3,3,3,3,0.5625,0.833333333,0.5,0.5
161,1,Parkrose MS,1,2,1,2,1,5,5,1,5,1,1,5,1,1,1,4,1,5,1,1,2,1111,1111,1111,1111,1121,1121,1111,1121,1111,1121,1121,1111,1111,1111,1112,1112,1112,1111,1111,1111,5,3,1,3,1,1,1,3,1,5,4,5,1,1,1,3,1,1,3,1,5,3,1,0.625,0.166666667,0.166666667,0.125
171,0,Parkrose MS,2,2,1,1,1,1,4,2,5,1,1,5,2,5,5,2,4,1,3,2,3,1111,1111,1111,1111,1111,2221,2211,2221,1111,1111,2111,1111,1112,2111,1111,1112,1111,1112,1111,1112,3,3,3,5,3,5,3,3,4,3,5,4,3,5,3,3,4,3,5,3,4,4,5,0.5625,0.833333333,0.625,0.875
173,1,Parkrose MS,1,1,2,2,1,4,5,2,5,5,2,1,1,3,1,1,3,4,4,1,1,1111,1111,1111,1111,2111,1121,1112,2121,1112,1111,1111,1111,1112,1111,1111,1111,1112,1112,1111,1111,4,5,3,4,4,3,4,5,2,3,5,4,2,4,1,3,2,2,3,3,3,4,5,0.75,0.75,0.333333333,0.625
176,0,Parkrose MS,1,3,1,1,1,1,5,2,4,5,2,3,2,1,4,4,5,4,2,3,5,2111,1111,1121,1211,1111,2111,2111,2111,2111,2111,2111,2111,1112,1112,2111,1121,1121,1111,1121,2111,5,5,4,4,4,3,5,5,3,4,5,5,4,4,4,4,5,4,4,5,4,4,4,0.9375,0.75,0.833333333,0.625
178,0,Parkrose MS,1,4,3,1,2,1,1,2,4,4,1,2,1,2,1,5,4,4,4,5,5,2111,2111,1111,1121,1111,1111,1111,2221,2111,1111,1112,1111,1112,1112,1112,1121,1121,2111,2211,2111,5,5,3,5,5,4,3,5,3,5,5,5,5,5,3,1,3,2,2,5,5,2,NA,0.875,1,0.541666667,0.5
201,1,Parkrose MS,1,2,2,2,1,1,2,2,1,2,1,3,3,3,4,4,5,1,1,1,4,2111,2111,2111,1111,1111,2111,2111,1111,1111,2111,2111,2111,1111,1112,1111,1112,1111,1111,1111,1112,3,4,3,3,3,1,5,4,3,3,5,4,3,3,3,3,4,4,2,3,5,4,2,0.625,0.5,0.5,0.375
204,0,Parkrose MS,1,3,1,1,1,1,1,2,1,4,1,3,1,2,5,4,5,1,3,5,5,2111,1111,2111,1111,1111,1111,2111,1111,1112,1111,2111,1111,1112,1112,1112,1112,1111,1112,1112,2111,5,5,5,5,5,4,1,4,4,5,5,5,5,3,5,5,5,4,4,5,4,5,5,0.9375,0.833333333,0.958333333,0.875
206,1,Parkrose MS,1,5,1,1,1,1,2,2,1,5,1,5,5,4,5,5,5,5,3,2,5,1112,1112,1112,1111,1111,1112,1112,1121,1111,1111,1112,1112,1111,1112,1112,1112,1112,1112,1112,1112,3,5,3,3,5,3,3,3,3,5,5,5,3,3,3,3,5,3,3,5,3,3,4,0.625,0.666666667,0.666666667,0.5625
208,0,Parkrose MS,2,2,1,1,1,1,3,1,1,1,1,2,5,4,5,5,5,1,2,4,1,2111,1111,1111,1111,1111,2111,1111,1111,2111,1111,1111,2111,2111,2111,2111,2111,1111,1112,2111,1111,5,5,5,5,5,3,5,5,3,5,4,5,5,3,5,5,5,5,4,5,3,5,5,1,0.833333333,0.958333333,0.75
211,0,Parkrose MS,1,2,1,1,1,1,2,2,3,5,2,5,4,4,5,5,3,4,2,4,3,1112,1112,1112,1112,1111,1112,1112,2111,1112,1112,2111,1112,1112,2111,1112,1112,1112,1112,1112,1112,4,5,3,3,4,5,4,5,3,5,3,5,4,3,5,4,4,4,5,5,4,5,5,0.8125,0.583333333,0.875,0.875
212,0,Parkrose MS,1,3,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,5,1,1,1112,1111,1111,1111,1111,1111,1111,1121,1112,1111,1112,1111,1112,2111,1111,1111,1111,1112,1111,1111,5,5,4,5,5,4,5,5,4,5,2,5,3,5,5,5,5,4,3,5,4,5,5,0.9375,1,0.833333333,0.875
216,1,Parkrose MS,1,3,2,2,1,1,4,2,5,5,2,3,5,3,4,5,4,5,1,4,5,1112,1121,1211,1211,1121,2221,2111,1121,1121,2111,2111,2111,1111,1112,1112,1112,1121,1111,1112,2111,3,4,3,4,4,1,5,3,3,5,4,4,3,5,2,2,4,5,5,5,4,4,2,0.5625,0.833333333,0.625,0.375
217,1,Parkrose MS,1,2,2,2,1,2,1,2,1,1,1,3,3,2,5,5,4,5,5,4,5,1112,1112,1211,1111,1211,1111,1211,1111,1111,1111,1112,1112,1112,1112,1112,1112,1121,1112,1112,1112,5,5,5,5,4,4,5,4,4,5,1,5,4,5,5,5,5,4,5,4,4,4,4,0.9375,0.916666667,0.916666667,0.75
220,1,Parkrose MS,1,2,1,1,1,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1111,1111,1111,1111,1112,1121,2111,2111,2111,2111,1121,2111,2111,2111,1112,1112,1112,1112,1211,2111,3,5,3,3,3,3,5,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,3,0.75,0.666666667,0.75,0.75
221,0,Parkrose MS,1,3,1,1,1,1,5,5,5,1,1,2,5,5,3,5,5,5,5,5,1,2111,2111,2111,1121,1111,2111,1111,2111,1112,1111,2111,2111,2111,2111,2111,1121,2111,2111,2111,1111,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.75,1,1,1
222,1,Parkrose MS,1,2,1,1,1,1,5,2,1,5,1,5,3,3,5,4,4,5,3,1,4,2111,1211,1112,1112,1112,2221,2111,1111,2221,1111,2221,1211,2111,2111,1112,1112,1121,2211,1111,1112,5,5,2,3,3,3,4,2,1,5,4,5,1,3,1,3,1,5,2,2,5,4,1,0.625,0.5,0.166666667,0.3125
225,1,Parkrose MS,1,1,2,3,1,2,1,2,1,5,1,3,2,2,3,5,3,5,4,2,5,1111,1112,1112,1111,1111,1111,1112,1111,1112,1111,1112,1112,1121,1112,1112,1112,1112,1112,2121,1112,4,5,3,3,3,3,3,3,2,1,5,4,4,5,3,4,3,5,3,3,5,3,3,0.625,0.666666667,0.583333333,0.4375
228,1,Parkrose MS,2,3,2,2,2,2,3,3,2,5,2,5,5,5,5,5,3,1,4,5,5,1112,2111,2111,1111,1121,1211,2111,1112,2112,2111,1112,2112,1112,1112,1112,1211,1111,1112,1212,2212,5,5,5,5,5,5,5,5,4,4,3,5,5,5,3,5,4,4,3,5,4,3,3,1,1,0.791666667,0.6875
232,1,Parkrose MS,2,1,2,2,1,1,1,1,4,2,1,4,4,1,5,3,4,4,3,1,4,2111,2111,1112,1111,1111,1111,1111,2111,2111,1121,2111,2111,1111,1112,2111,1112,1121,2111,1111,2111,4,5,3,2,4,2,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,3,2,0.6875,0.583333333,0.625,0.375
234,1,Parkrose MS,2,3,2,3,3,1,4,2,5,4,1,2,2,3,4,4,5,5,3,3,4,2111,1211,1211,1211,2111,1121,2111,2111,2111,2111,2111,2111,2111,1211,1211,1211,1211,2111,2111,2111,5,5,5,5,5,1,5,5,1,5,1,5,5,5,5,5,4,5,4,4,5,5,5,1,1,0.875,0.5
240,0,Parkrose MS,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1111,1111,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1111,1112,1111,1112,3,4,3,3,3,3,3,3,3,3,5,3,3,4,3,3,3,3,3,4,3,3,3,0.5,0.583333333,0.541666667,0.5
242,1,Parkrose MS,2,1,2,1,1,1,1,2,1,5,1,5,2,2,4,5,4,5,1,2,4,2111,1112,2111,1112,1111,1111,2111,2111,2111,1111,2111,2111,1111,1121,1121,1121,1121,1111,1112,2111,4,4,4,3,3,1,3,2,1,3,5,3,3,4,1,4,4,4,3,4,3,3,3,0.5625,0.583333333,0.541666667,0.25
245,0,Parkrose MS,2,2,2,2,1,1,4,4,5,5,1,4,1,1,5,4,5,5,1,1,5,2111,1121,1211,1111,1111,1121,2111,1121,1121,1111,1111,1112,1111,1112,1112,1112,1112,1112,1111,1112,3,5,3,4,3,5,5,5,3,3,5,5,5,5,3,5,3,3,3,5,5,5,3,0.75,0.75,0.75,0.75
246,1,Parkrose MS,2,3,3,3,1,1,3,1,4,4,1,1,2,4,1,2,5,4,1,1,5,1112,2221,1111,1111,1111,1121,1111,1121,1211,1111,1111,1111,1111,1111,1111,1111,1121,1111,1111,2211,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,0.75,0.75,0.833333333,0.75
250,1,Parkrose MS,2,1,1,1,1,1,1,1,2,1,1,2,3,3,4,5,3,2,1,1,1,1111,1111,1111,1111,1111,1111,1111,1111,1121,1112,1111,2111,1121,2111,1112,1112,1121,2111,1111,1111,2,5,4,4,4,2,1,2,1,1,5,4,1,4,1,1,4,1,1,4,4,1,3,0.5,0.75,0.25,0.1875
228000,1,Parkrose MS,2,3,2,2,2,2,3,3,2,5,2,5,5,5,5,5,3,1,4,5,5,1112,2111,2111,1111,1121,1211,2111,1112,2112,2111,1112,2112,1112,1112,1112,1211,1111,1112,1212,2212,5,5,5,5,5,5,5,5,4,4,3,5,5,5,3,5,4,4,3,5,4,3,3,1,1,0.791666667,0.6875
